STATION_NAME,SITE_ID,FIRE_CENTRE,ENABLED,LATITUDE,LONGITUDE,ELEVATION,STATION_CODE,FIRE_ZONE
QD6 KIKOMUN CREEK PB,,,FALSE,NA,NA,NA,NA,NA
QD7 BLUE GROUSE PB,,,FALSE,NA,NA,NA,NA,NA
QD7 BURTON PB,,,FALSE,NA,NA,NA,NA,NA
QD7 DEER CREEK PB,,,FALSE,NA,NA,NA,NA,NA
QD7 SILVERTON,,,FALSE,NA,NA,NA,NA,NA
QD7 Six Mile Slough,,,FALSE,NA,NA,NA,NA,NA
QD7 TOBACCO PLAINS,,,FALSE,NA,NA,NA,NA,NA
QD7 YAMINQAN,,,FALSE,NA,NA,NA,NA,NA
QD8 BEEF TRAIL,,,FALSE,NA,NA,NA,NA,NA
QUEENS COVE,,Coastal Fire Centre,FALSE,NA,NA,NA,4653,NA
QUINSAM BASE FWX,173.181.134.41:48031,Coastal Fire Centre,TRUE,50.0266,-125.2929,79,1093,North Island Mid Coast
RAFT,,,FALSE,NA,NA,NA,NA,NA
RED DEER,173.181.133.111:48027;0x09D0-0x0A2B-0x0A31,Prince George Fire Centre,TRUE,54.6331,-120.5761,1308,138,Dawson Creek
REDSTREAK,6160c6b36469946308727b31,Southeast Fire Centre,FALSE,50.6229,-116.0627,,1260,NA
REVELSTOKE,173.181.134.37:48030,Southeast Fire Centre,TRUE,51.0603333,-118.2171667,680,363,Columbia
RISKE CREEK,173.181.139.84:48055;0x0396-0x03FE-0x00D2,Cariboo Fire Centre,TRUE,51.959675,-122.504115,910,210,Central Cariboo
ROCK CREEK,173.181.135.1:48037,Southeast Fire Centre,TRUE,49.052,-118.9366666,609,394,Boundary
ROCKINGHAM,66ad273c99a271067ca51c1d,Prince George Fire Centre,TRUE,52.8643,-118.5204,,3190,Robson Valley
RORY CREEK,66a80a8700e01a5a0ce79162,Southeast Fire Centre,TRUE,50.61261,-116.7933,,1092,Kootenay
ROSSWOOD,66bfccae99a271067ca51c4e,Northwest Fire Centre,TRUE,54.9168,-128.8597,239,105,Skeena
ROUND PRAIRIE,96.1.70.225:48004;0x0AA9-0x01F8-0x01F9-0x0314,Southeast Fire Centre,TRUE,50.0867,-114.8997,,788,Cranbrook
SALISBURY QD,,,FALSE,NA,NA,NA,NA,NA
SALTSPRING 2,66bfcce400e01a5a0ce791a6,Coastal Fire Centre,TRUE,48.7729,-123.4745,15,45,South Island
SASKATCHEWAN CROSSING,,Southeast Fire Centre,FALSE,NA,NA,NA,NA,NA
SAWTOOTH,66c901e300e01a5a0ce791cf,Prince George Fire Centre,TRUE,55.3145,-125.3485,,NA,VanJam
SCAR CREEK,66ad47be00e01a5a0ce79178,Coastal Fire Centre,TRUE,51.1891,-125.0282,122,82,Sunshine Coast
SEVEREID,173.181.133.38:48026;0x04E0-0x0452-0x00BF,Prince George Fire Centre,TRUE,54.169,-121.6518,799,1165,Prince George
SEYMOUR ARM,66c4d39e99a271067ca51c58,Kamloops Fire Centre,TRUE,51.2736,-118.9148,,344,Vernon
SEYMOUR GVRD,,Coastal Fire Centre,FALSE,NA,NA,NA,NA,NA
SICAMOUS,96.1.71.103:48001;0x01E0-0x01E2,Kamloops Fire Centre,TRUE,50.863467,-119.00285,,882,Vernon
SIERRA,68262af3bd48a6284588765e,Prince George Fire Centre,TRUE,58.8381,-121.3967,,117,Fort Nelson
SIFTON,66bfd03299a271067ca51c4f,Prince George Fire Centre,TRUE,57.8517,-126.1168,968,152,Mackenzie
SILVER,66ad47ee00e01a5a0ce79179,Prince George Fire Centre,TRUE,57.3741,-121.4076,,120,Fort St. John
SILVERSTAR SF,96.1.71.103:48001,Kamloops Fire Centre,TRUE,50.3681944,-119.0654167,,480,Vernon
SKOONKA,66bfe07800e01a5a0ce791a9,Kamloops Fire Centre,TRUE,50.4387,-121.5514,,1024,Lillooet
SLOCAN,96.1.66.146:48020;0x01E7-0x0198-0x0196,Southeast Fire Centre,TRUE,49.7846667,-117.44,1230,406,Arrow
SMALLWOOD,96.1.97.217:48040,Southeast Fire Centre,TRUE,49.496948,-117.447795,960,404,Kootenay
SPARKS LAKE,66bfd0ac00e01a5a0ce791a7,Kamloops Fire Centre,TRUE,50.9237,-120.8671,960,305,Kamloops
SPARWOOD,66ad485c99a271067ca51c1f,Southeast Fire Centre,TRUE,49.833,-114.883,,3110,Cranbrook
SPLINTLUM,66c4d3eb99a271067ca51c59,Kamloops Fire Centre,TRUE,50.3513,-121.655,,1055,Lillooet
STATION BAY 2,96.1.71.103:48001;0x01E0-0x01DC-0x04EA,Kamloops Fire Centre,TRUE,50.497346,-119.727009,1100,1359,Vernon
SUCCOUR CREEK,66a9205e99a271067ca51c13,Southeast Fire Centre,TRUE,51.7159,-117.5415,1397,374,Columbia
SUMMIT,66a80e6400e01a5a0ce79164,Coastal Fire Centre,TRUE,48.9276,-124.6469,671,11,Mid Island
SUSTUT,66a80afa99a271067ca51bff,Prince George Fire Centre,TRUE,56.32873,-127.03425,,156,VanJam
SWIFT RIVER YFS,,Northwest Fire Centre,FALSE,NA,NA,NA,967,NA
Station 1389,,,FALSE,NA,NA,NA,NA,NA
Station 1396,,,FALSE,NA,NA,NA,NA,NA
Station 1403,,,FALSE,NA,NA,NA,NA,NA
Station 1911,,,FALSE,NA,NA,NA,NA,NA
Station 1970,,,FALSE,NA,NA,NA,NA,NA
Station 201,,,FALSE,NA,NA,NA,NA,NA
Station 2270,,,FALSE,NA,NA,NA,NA,NA
Station 2290,,,FALSE,NA,NA,NA,NA,NA
Station 2370,,,FALSE,NA,NA,NA,NA,NA
Station 2390,,,FALSE,NA,NA,NA,NA,NA
Station 2410,,,FALSE,NA,NA,NA,NA,NA
Station 2430,,,FALSE,NA,NA,NA,NA,NA
Station 2470,,,FALSE,NA,NA,NA,NA,NA
Station 2490,,,FALSE,NA,NA,NA,NA,NA
Station 2570,,,FALSE,NA,NA,NA,NA,NA
Station 2591,,,FALSE,NA,NA,NA,NA,NA
Station 2593,,,FALSE,NA,NA,NA,NA,NA
Station 2710,,,FALSE,NA,NA,NA,NA,NA
Station 343,,,FALSE,NA,NA,NA,NA,NA
Station 346,,,FALSE,NA,NA,NA,NA,NA
Station 789,,,FALSE,NA,NA,NA,NA,NA
TABERNACLE WIND,96.1.66.140:48016;0x034C-0x2353,Southeast Fire Centre,TRUE,51.7513333,-117.7613333,2438,376,Columbia
TABLE RIVER,173.181.133.38:48026;0x04E0-0x0452-0x01D1-0x0090,Prince George Fire Centre,TRUE,54.7157,-122.2747,769,144,Prince George
TALCHAKO,66b549fd99a271067ca51c3a,Coastal Fire Centre,TRUE,52.2513,-126.0282,306,233,North Island Mid Coast
TATLA LAKE,173.181.133.179:48029;0x009E-0x01D4-0x0203-0x0492-0x00D0,Cariboo Fire Centre,TRUE,51.9066667,-124.605,945,208,Chilcotin
TAUTRI,66bfd0e299a271067ca51c50,Cariboo Fire Centre,TRUE,52.5422,-123.35,1085,206,Central Cariboo
TELEGRAPH CREEK,66a80b5499a271067ca51c00,Northwest Fire Centre,TRUE,57.9141,-131.171,382,110,Cassiar
TERRACE,68091bcda1ed9944730c8646,Northwest Fire Centre,TRUE,54.438,-128.5714,199,3851,Skeena
TERRACE AIRPORT QD,,,FALSE,NA,NA,NA,NA,NA
TETRAHEDRON,,Coastal Fire Centre,FALSE,NA,NA,NA,NA,NA
THYNNE,96.1.66.139:48015;0x0577-0x032D-0x01E1-0x0117,Kamloops Fire Centre,TRUE,49.7152,-120.866,,279,Merritt
TIMOTHY,96.1.66.142:48017;0x01FD-0x0205-0x00EA,Cariboo Fire Centre,TRUE,51.9130556,-121.3888,1161,234,100 Mile House
TOAD RIVER,66a8fdb000e01a5a0ce7916a,Prince George Fire Centre,TRUE,58.86585,-125.3107,,126,Fort Nelson
TOBA CAMP,66a8fc0700e01a5a0ce79169,Coastal Fire Centre,TRUE,50.571,-124.077,49,75,Sunshine Coast
TOBY HUB,173.181.139.55:48050,Southeast Fire Centre,TRUE,50.51295,-116.05511,894,417,Invermere
TROUT LAKE,66c4d46299a271067ca51c5a,Southeast Fire Centre,TRUE,50.6053,-117.4271,,387,Arrow
TS ARTLISH,66a8fe2599a271067ca51c07,Coastal Fire Centre,TRUE,50.1325,-126.92805,120,995,North Island Mid Coast
TS ATLUCK,66c6704c00e01a5a0ce791c0,Coastal Fire Centre,TRUE,50.2678056,-127.07961,384,1378,North Island Mid Coast
TS BLACKWATER,66c672c300e01a5a0ce791c4,Coastal Fire Centre,TRUE,50.171,-125.5756,289,1408,North Island Mid Coast
TS BURMAN,66c6709500e01a5a0ce791c1,Coastal Fire Centre,TRUE,49.6133,-126.0327,,1362,North Island Mid Coast
TS EFFINGHAM,66a8fb5a00e01a5a0ce79168,Coastal Fire Centre,TRUE,49.17,-125.2825,632,956,Mid Island
TS ELPHINSTONE,66c907ff00e01a5a0ce791d0,Coastal Fire Centre,TRUE,49.428,-123.5648,615,1002,Sunshine Coast
TS MAURELLE,66a8fe9899a271067ca51c08,Coastal Fire Centre,TRUE,50.2709167,-125.1308889,140,NA,Sunshine Coast
TS MCNABB,66a8fb0399a271067ca51c06,Coastal Fire Centre,TRUE,49.5855,-123.3872167,140,1066,Sunshine Coast
TS NAHMINT,66c6729b00e01a5a0ce791c3,Coastal Fire Centre,TRUE,49.2075,-125.1219,354,1398,Mid Island
TS NAKA CREEK,66a8feed00e01a5a0ce7916b,Coastal Fire Centre,TRUE,50.3701333,-126.433933,515,945,North Island Mid Coast
TS PORT NEVILLE,,,FALSE,NA,NA,NA,NA,NA
TS SAN JUAN,66ad497a99a271067ca51c20,Coastal Fire Centre,TRUE,48.5713,-124.2,294,944,South Island
TS SOUTH FORK,,,FALSE,NA,NA,NA,NA,NA
TS THEODOSIA,66a8ff4299a271067ca51c09,Coastal Fire Centre,TRUE,50.1035,-124.614694,103,1025,Sunshine Coast
TS TSITIKA,6758ab7c2e48134ee1235cbe,Coastal Fire Centre,TRUE,50.375324,-126.540148,211,4393,North Island Mid Coast
TSAR CREEK,675af39215eb8a4137b42bb9,Southeast Fire Centre,TRUE,51.9983,-118.102,,361,Columbia
TUMBLER HUB,173.181.133.111:48027,Prince George Fire Centre,TRUE,55.0274,-120.9341,932,127,Dawson Creek
TURTLE,173.181.134.219:48034,Kamloops Fire Centre,TRUE,50.803,-119.631,,286,Vernon
UBC RESEARCH,96.1.101.79:48044,Coastal Fire Centre,TRUE,49.2645,-122.5732,146,72,Fraser
UPPER BEAVER,66c4cffb00e01a5a0ce791b0,Southeast Fire Centre,FALSE,51.3145,-117.3739,,NA,NA
UPPER FULTON,96.1.101.85:48046;0x0A0F-0x0A9B-0x0A4E,Northwest Fire Centre,TRUE,55.0339,-126.7996,,169,Bulkley
UPPER KISPIOX,66bfd58900e01a5a0ce791a8,Northwest Fire Centre,TRUE,55.6015,-128.0478,410,431,Bulkley
VALEMOUNT 2,173.181.133.114:48028;0x04F4-0x00C8,Prince George Fire Centre,TRUE,52.7883,-119.3146,1163,200,Robson Valley
VALEMOUNT AIRPORT,173.181.133.114:48028,Prince George Fire Centre,TRUE,52.8601,-119.3389,788,1268,Robson Valley
VAN DYKE,66c9087399a271067ca51c79,Northwest Fire Centre,TRUE,56.0127,-129.0998,296,430,Skeena
VANDERHOOF HUB,173.181.133.179:48029,Prince George Fire Centre,TRUE,54.0553,-124.0101,681,158,VanJam
VAVENBY MTN,66c4cbaf99a271067ca51c54,,FALSE,51.556,-119.7383,,NA,NA
VERMILLION CROSSING,,Southeast Fire Centre,FALSE,NA,NA,NA,1241,NA
Vavenby Mtn,,,FALSE,51.556,-119.7383,,NA,NA
WELLS GRAY,173.181.135.2:48038;0x00EF-0x01D9-0x010A,Kamloops Fire Centre,TRUE,52.343,-120.244,,266,Penticton
WEST KELOWNA,66c670d500e01a5a0ce791c2,Kamloops Fire Centre,TRUE,49.8832,-119.5695,,1277,Vernon
WETZINKWA,,Northwest Fire Centre,FALSE,NA,NA,NA,4793,NA
WHISKEY,173.181.139.55:48050;0x01A1-0x01F3-0x01ED-0x0361-0x016E,Southeast Fire Centre,TRUE,51.065381,-116.785233,1355,366,Invermere
WHITE RIVER,66c909fa00e01a5a0ce791d1,Southeast Fire Centre,TRUE,50.1849,-115.2676,,790,Invermere
WILDHORSE WX,,,FALSE,NA,NA,NA,NA,NA
WILLIS,,Kamloops Fire Centre,FALSE,NA,NA,NA,3873,NA
WINDY MOUNTAIN,68796283bd48a628458876ca,Cariboo Fire Centre,TRUE,51.6645,-120.6576,,244,100 Mile House
WITCH,66c90f9899a271067ca51c7a,Prince George Fire Centre,TRUE,55.023,-124.2666,1041,154,VanJam
WONOWON,96.1.71.135:48009,Prince George Fire Centre,TRUE,56.7185,-121.76543,957,136,Fort St. John
